verb		list	atpdwnv	ttpupv	tbdwnv	abupv	allacrh	tlracrh	trlacrh	arracrh		upwrd	dwnwrd	vert	left	right	horiz	toward	away
inhale		*	0.44	1.82	0.91	0.66	0.41	1.41	1.03	0.29		2.48	1.35	3.83	1.44	1.71	3.14	5.17	1.80
inherit		2	0.72	0.69	1.72	0.38	0.66	1.09	1.81	0.38		1.06	2.44	3.50	2.47	1.47	3.94	5.31	2.13
inject		1	2.60	0.00	0.00	1.07	2.43	0.00	0.00	1.13		1.07	2.60	3.67	2.43	1.13	3.57	0.00	7.23
inspire		2	0.88	1.38	0.34	2.00	1.22	0.13	0.31	0.69		3.38	1.22	4.59	1.53	0.81	2.34	2.16	4.78
insult		3	2.53	0.03	0.07	0.73	1.67	0.33	0.40	1.50		0.77	2.60	3.37	2.07	1.83	3.90	0.83	6.43
jog		3	0.23	0.37	0.00	0.60	2.80	0.40	0.80	1.77		0.97	0.23	1.20	3.60	2.17	5.77	1.57	5.40
jump		3	0.83	2.30	0.43	2.70	0.10	0.00	0.23	0.07		5.00	1.27	6.27	0.33	0.07	0.40	2.97	3.70
kick		2	1.88	0.00	0.09	0.84	2.72	0.00	0.09	1.88		0.84	1.97	2.81	2.81	1.88	4.69	0.19	7.31
know		3	0.77	0.00	0.07	0.87	3.17	0.07	0.17	2.77		0.87	0.83	1.70	3.33	2.83	6.17	0.30	7.57
lapse		add	1.92	0.08	2.00	0.08	0.25	1.92	1.42	0.50		0.17	3.92	4.08	1.67	2.42	4.08	5.42	2.75
laugh		1	0.33	1.33	0.00	1.53	1.93	0.10	0.00	0.77		2.87	0.33	3.20	1.93	0.87	2.80	1.43	4.57
launch		add	0.67	0.00	0.00	4.00	1.42	0.00	0.00	0.75		4.00	0.67	4.67	1.42	0.75	2.17	0.00	6.83
lead		2	0.25	1.16	0.84	0.25	0.34	1.78	2.91	0.44		1.41	1.09	2.50	3.25	2.22	5.47	6.69	1.28
leap		1	0.30	1.97	0.13	2.73	0.93	0.10	0.20	0.10		4.70	0.43	5.13	1.13	0.20	1.33	2.40	4.07
leave		1	0.33	1.47	1.27	0.00	0.23	1.73	2.03	0.23		1.47	1.60	3.07	2.27	1.97	4.23	6.50	0.80
lend		2	1.56	0.00	0.00	0.84	3.19	0.13	0.19	1.81		0.84	1.56	2.41	3.38	1.94	5.31	0.31	7.41
lift		3	0.50	0.97	0.00	3.30	0.10	0.00	0.00	0.00		4.27	0.50	4.77	0.10	0.00	0.10	0.97	3.90
like		2	0.88	0.00	0.06	0.97	3.09	0.41	0.41	2.06		0.97	0.94	1.91	3.50	2.47	5.97	0.88	7.00
linger		3	0.40	0.87	0.77	0.33	0.30	1.57	1.70	0.63		1.20	1.17	2.37	2.00	2.20	4.20	4.90	1.67
live		1	0.33	1.27	0.13	1.60	1.70	0.07	0.43	0.80		2.87	0.47	3.33	2.13	0.87	3.00	1.90	4.43
loan		2	1.44	0.09	0.00	0.56	2.97	0.19	0.13	1.75		0.66	1.44	2.09	3.09	1.94	5.03	0.41	6.72
lower		2	3.50	0.31	0.78	0.31	0.00	0.13	0.06	0.09		0.63	4.28	4.91	0.06	0.22	0.28	1.28	3.91
make		3	2.50	0.03	0.07	0.97	2.97	0.00	0.00	1.17		1.00	2.57	3.57	2.97	1.17	4.13	0.10	7.60
